Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,300,Greece,GRC,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,58866,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,304,Greenland,GRL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,750238,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,320,Guatemala,GTM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,8679,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,324,Guinea,GIN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,11015,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,340,Honduras,HND,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,23292,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,344,"""China"," Hong Kong SAR""",HKG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2781,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,344,"""China"," Hong Kong SAR""",HKG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,365067,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,344,"""China"," Hong Kong SAR""",HKG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,365067,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,348,Hungary,HUN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,13615596,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,348,Hungary,HUN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1126758,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,352,Iceland,ISL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3722556,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,360,Indonesia,IDN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,580369,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,360,Indonesia,IDN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,6125500,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,364,Iran,IRN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,949728,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,364,Iran,IRN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1700217,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,364,Iran,IRN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,206250,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,368,Iraq,IRQ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9806078,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,368,Iraq,IRQ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,724477,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,372,Ireland,IRL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,48783,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,372,Ireland,IRL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,14433,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,376,Israel,ISR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,632496,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,376,Israel,ISR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1363945,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,381,Italy,ITA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,12709908,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,381,Italy,ITA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,23301508,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,381,Italy,ITA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,889950,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,384,Côte d'Ivoire,CIV,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2275058,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,384,Côte d'Ivoire,CIV,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,359751,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,388,Jamaica,JAM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,23,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,392,Japan,JPN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,38478,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,392,Japan,JPN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,5347,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,398,Kazakhstan,KAZ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,764452,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,398,Kazakhstan,KAZ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,18427254,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,398,Kazakhstan,KAZ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,47430,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,400,Jordan,JOR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,5288,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,400,Jordan,JOR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,885990,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,404,Kenya,KEN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,28197,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,410,Rep. of Korea,KOR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,35295,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,414,Kuwait,KWT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,37558,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,417,Kyrgyzstan,KGZ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,290725,,,0
